Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Asia,Afghanistan,None,2020-03-27,29.504418338657125,1.25,8.555123547199043,1.0,0.06554208268939055,0.02799959525603675,0.01747447760551646,0.1253598220851444,0.1771388797587523,0.0,3.7816474981579953,0.9543101245973902
Europe,Albania,None,2020-03-23,25.60325741170027,0.9736655332969137,5.746221702978208,1.0,0.5,0.035558382899756144,0.5,0.1,0.1,0.0,2.9601671015075315,0.9755494681832264
Africa,Algeria,None,2020-03-21,23.337390396352944,1.2089909364848865,3.9152515130288528,1.0015602415326872,0.37671967808767004,0.08651399401977689,0.1202280747399247,1.060291474712682,0.1194940401151321,0.4972104032280993,2.959957299290573,0.15466062814133696
Europe,Andorra,None,2020-03-22,7.392263667192059,0.8072814947366942,-2.667614559082723,2.9912003831655594,0.10558426414686378,0.06353093113810306,0.044094609416549496,1.5229761210248487,0.6879111494245498,0.0,2.381649264398873,1.3145824658811578
Africa,Angola,None,2020-06-10,4.831054049256521,1.0616897793218032,-2.506546921685846,1.1204841367453198,0.21043160804792566,0.04058279803291168,0.17141461315424644,0.1,0.19047325823319294,0.0,3.082485540694422,0.9568076662459064
South America,Argentina,None,2020-03-20,63.6720734308701,1.1073311235273906,0.7893940268080079,1.0,0.05,0.04670072414462696,0.15857134251664054,1.4631462756946911,1.442327046533947,0.5993197730697597,2.765325034668459,0.10000000013502897
Asia,Armenia,None,2020-03-19,95.79091829635328,1.057757287483823,0.6205388725377268,1.0,0.05,0.022857682090901152,0.10496187695789777,2.9292648772844534,0.1,0.0,2.94492561289428,0.9410948747006624
Oceania,Australia,Australian Capital Territory,2020-04-10,15.717175080561445,0.75,-10.0,3.0,0.05,0.01,0.2027402223349322,0.1,0.1,0.0,2.971989930315837,0.9878680473304982
Oceania,Australia,New South Wales,2020-03-14,355.5431467989691,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.10000000000000009,3.0,1.0
Oceania,Australia,Queensland,2020-03-19,23.22836171913156,0.75,-10.0,3.0,0.05,0.01,0.24729054289770955,1.2523890879973947,1.89880606648286,0.0,3.182126133148473,1.102967141642711
Oceania,Australia,South Australia,2020-03-23,7.2099657930340655,0.75,-10.0,3.0,0.08091868854455975,0.01,0.21111171901616438,0.1,1.0197337194866432,0.0,3.702119077985395,0.8209307578297649
Oceania,Australia,Tasmania,2020-04-09,3.428081944042982,0.75,-10.0,3.0,0.15018170827317254,0.05012953406201223,0.2969841260695469,0.1,0.5274519033023406,0.0,3.065721650454689,0.9952042736126017
Oceania,Australia,Victoria,2020-03-18,8.810332716197712,0.8589394509026514,-1.2589718049244139,2.0594058233267076,0.37177108547329635,0.01136059424469936,0.27094748855935363,1.6970913603448663,0.6206871674104981,0.0,3.149628482455736,1.3385572317542276
Oceania,Australia,Western Australia,2020-03-22,6.647389199950657,0.7557450991546072,-9.977752490533188,2.5808241190529326,0.09469634085834147,0.014074387363232632,0.10218022576365876,0.16028242846315077,1.3736250651305202,0.2113510823219804,2.7419712279968507,1.1079071390264807
Europe,Austria,None,2020-03-08,40.61583784250082,1.0503594355922048,0.4987498122920523,1.958950550658939,0.08831590239902837,0.04636384632150338,0.19647973018405054,3.093209935909666,3.3977057865688662,0.9062617235022454,2.602434619106919,1.0821136670640297
Asia,Azerbaijan,None,2020-03-26,35.58967905274237,1.25,6.11196647754088,1.0,0.05,0.019109629222081315,0.14907047317600194,0.1,0.1,0.0,3.039198402150524,1.6129396686471997
Asia,Bahrain,None,2020-03-10,115.57281717519123,1.25,6.389049453111655,1.0,0.05,0.01,0.21187643332952708,0.1,0.1,0.0,3.1639918988140634,0.9189321502283969
